Unnamed: 0,season,first_name,last_name,position,origin,origin21%,origin22%,origin23%,originNIL,destination,destination21%,destination22%,destination23%,destinationNIL,transfer_date,rating,stars,eligibility
147,2021.0,Nick,Billoups,QB,Utah,71.0,71.0,62.0,7252969,none,,,,none,2021-05-18T00:00:00.000Z,,3.0,TBD
148,2021.0,Gaige,Garcia,RB,Michigan,86.0,93.0,100.0,16357054,none,,,,none,2021-05-18T00:00:00.000Z,,3.0,TBD
149,2021.0,Jason,Romero,EDGE,East Carolina,57.99999999999999,62.0,17.0,2887971,Florida A&M,,,,No Data,2021-05-18T00:00:00.000Z,,3.0,Immediate
150,2021.0,Ryan,Nixon,S,Tulsa,54.0,42.0,33.0,1471894,San Jose State,42.0,57.99999999999999,54.0,1001536,2021-05-18T00:00:00.000Z,,2.0,Immediate
151,2021.0,Shane,Simmons,DL,Penn State,54.0,85.0,77.0,13793489,Marshall,54.0,69.0,46.0,1462900,2021-05-18T00:00:00.000Z,0.82,3.0,Immediate
152,2021.0,Dylan,Jordan,LB,TCU,42.0,87.0,42.0,11377377,Northern Colorado,,,,No Data,2021-05-17T09:44:00.000Z,,3.0,Immediate
153,2021.0,Trent,Carrington,CB,Presbyterian College,,,,No Data,Northwestern,25.0,8.0,62.0,11772392,2021-05-17T00:00:00.000Z,,3.0,Immediate
154,2021.0,Keith,Pearson,WR,Presbyterian College,,,,No Data,Charlotte,42.0,25.0,25.0,No Data,2021-05-17T00:00:00.000Z,,0.0,Immediate
155,2021.0,Qwynnterrio,Cole,CB,Alcorn State,,,,No Data,Louisville,46.0,62.0,71.0,9443439,2021-05-17T00:00:00.000Z,0.83,3.0,Immediate
156,2021.0,Eric,Bentley,DL,Akron,17.0,17.0,17.0,1471894,none,,,,none,2021-05-17T00:00:00.000Z,,2.0,TBD
157,2021.0,Michael,Jefferson,WR,Alabama State,,,,No Data,Louisiana,93.0,46.0,46.0,1284835,2021-05-17T00:00:00.000Z,,0.0,TBD
158,2021.0,Anthony,Laudicina,OT,Buffalo,33.0,54.0,25.0,348600,none,,,,none,2021-05-17T00:00:00.000Z,,2.0,TBD
159,2021.0,Ronald,McGee,DL,Buffalo,33.0,54.0,25.0,348600,Kansas,17.0,46.0,69.0,7427957,2021-05-17T00:00:00.000Z,,2.0,TBD
160,2021.0,Jawon,Hamilton,RB,James Madison,,73.0,85.0,1207786,Eastern Michigan,54.0,69.0,46.0,1471894,2021-05-17T00:00:00.000Z,,3.0,Immediate
161,2021.0,Delvontae,Harris,LB,East Carolina,57.99999999999999,62.0,17.0,2887971,none,,,,none,2021-05-17T00:00:00.000Z,,3.0,Immediate
162,2021.0,Nikko,Pohahau,OT,Colorado,33.0,8.0,33.0,5337719,City College of San Francisco,,,,No Data,2021-05-15T22:44:00.000Z,,0.0,Immediate
163,2021.0,Michael,Ford Jr,IOL,Buffalo,33.0,54.0,25.0,348600,Kansas,17.0,46.0,69.0,7427957,2021-05-14T00:00:00.000Z,,3.0,TBD
164,2021.0,Jimmy,Walker,DL,North Texas,46.0,50.0,42.0,607493,none,,,,none,2021-05-14T00:00:00.000Z,,3.0,TBD
165,2021.0,Dashawn,Crawford,DL,Virginia Tech,46.0,27.0,54.0,7732903,Southern Mississippi,25.0,54.0,25.0,1500334,2021-05-14T00:00:00.000Z,,3.0,TBD
